"id","sequence_id:id","name","code"
journal_ao_abt,l10n_ao.journal_ao_sequence_opening,"10 - Abertura","10"
journal_ao_cx_kz,l10n_ao.journal_ao_sequence_caixa_kz,"21 - Caixa KZ","21"
journal_ao_cx_usd,l10n_ao.journal_ao_sequence_caixa_usd,"22 - Caixa USD","22"
journal_ao_banco_kz,l10n_ao.journal_ao_sequence_banco,"30 - Banco","30"
journal_ao_banco_dp_kz,l10n_ao.journal_ao_sequence_banco_dp,"31 - Banco Depósitos","31"
journal_ao_banco_pg_kz,l10n_ao.journal_ao_sequence_banco_pg,"32 - Banco Pagamentos","32"
journal_ao_banco_out,l10n_ao.journal_ao_sequence_banco_out,"33 - Banco Outros Mov","33"
journal_ao_banco_forn,l10n_ao.journal_ao_sequence_forn,"40 -Fornecedores","40"
journal_ao_purchase_mn,l10n_ao.journal_ao_sequence_compra_mn,"41 - Compra MN","41"
journal_ao_purchase_me,l10n_ao.journal_ao_sequence_compra_me,"43 - Compra ME","43"
journal_ao_purchase_imob,l10n_ao.journal_ao_sequence_compra_imob,"49 - Compra Imobilizado","49"
journal_ao_purchase_client,l10n_ao.journal_ao_sequence_client,"50 - Clientes","50"
journal_ao_sale_mn,l10n_ao.journal_ao_sequence_venda_credito_mn,"51 - Vendas - crédito MN","51"
journal_ao_sale_me,l10n_ao.journal_ao_sequence_venda_credito_me,"53 - Vendas - crédito ME","53"
journal_ao_sale_imob,l10n_ao.journal_ao_sequence_venda_imob,"54 - Vendas - Imobilizado - MN","54"
journal_ao_sale_cash_mn,l10n_ao.journal_ao_sequence_venda_dinheiro_mn,"56 - Venda-Dinheiro MN","56"
journal_ao_sale_cash_me,l10n_ao.journal_ao_sequence_venda_dinheiro_me,"58 - Venda-Dinheiro ME","58"
journal_ao_sale_acert,l10n_ao.journal_ao_sequence_venda_acert,"59 - Venda-Acertos","59"
journal_ao_sale_div_op,l10n_ao.journal_ao_sequence_op_div,"60 - Operações Diversas","60"
journal_ao_salary,l10n_ao.journal_ao_sequence_salario,"61 - Salários","61"
journal_ao_vat_settlement,l10n_ao.journal_ao_sequence_apuramento,"62 - Apuramento de IVA","62"
journal_ao_result_monthly,l10n_ao.journal_ao_sequence_regularizacoes_men,"63 - Regularizações Mensais","63"
journal_ao_result_divs,l10n_ao.journal_ao_sequence_diversos,"68 - Diversos","68"
journal_ao_result_reav,l10n_ao.journal_ao_sequence_reavaliacao,"69 - Reavaliações","69"
journal_ao_result_regu_anu,l10n_ao.journal_ao_sequence_regu_anu,"71 - Regularizações Anuais","71"
journal_ao_result_settlement,l10n_ao.journal_ao_sequence_apuramento_resultados,"72 - Apuramento de Resultados","72"
journal_ao_result_letras_rec,l10n_ao.journal_ao_sequence_letras_rec,"81 - Letras a Receber","81"
journal_ao_result_letras_APG,l10n_ao.journal_ao_sequence_letras_pag,"82 - Letras a Pagar","82"
journal_ao_result_opr_orc,l10n_ao.journal_ao_sequence_opr_orc,"91 - Operações Orçamentais","91"




