"id","country_id:id","name","code"
state_ao_1,base.ao,"Bengo","BEN"
state_ao_2,base.ao,"Benguela","BEG"
state_ao_3,base.ao,"Bié","BIE"
state_ao_4,base.ao,"Cabinda","CAB"
state_ao_5,base.ao,"Cuando-cubango","CUDB"
state_ao_6,base.ao,"Cunene","CUN"
state_ao_7,base.ao,"Huambo","HUA"
state_ao_8,base.ao,"Huíla","HUI"
state_ao_9,base.ao,"Kwanza Sul","KWSS"
state_ao_10,base.ao,"Kwanza Norte","KWN"
state_ao_11,base.ao,"Luanda","LDA"
state_ao_12,base.ao,"Lunda Sul","LDS"
state_ao_13,base.ao,"Lunda Norte","LDN"
state_ao_14,base.ao,"Malanje","MLJ"
state_ao_15,base.ao,"MOXICO","MOX"
state_ao_16,base.ao,"Namibe","ACT"
state_ao_17,base.ao,"Uíge","UIG"
state_ao_18,base.ao,"Zaire","ZAI"
state_ao_19,base.ao,"Icolo e Bengo","ICB"
state_ao_20,base.ao,"Moxíco-Leste","MOXL"
state_ao_21,base.ao,"Cuando","CUND"
